state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Oregon,No,Extended,Master,2/6/11,Employed,F,Suburban,Married,Personal L3,Offer2,Web,Four-Door Car,Small
Oregon,No,Extended,Bachelor,1/25/11,Unemployed,M,Suburban,Single,Personal L2,Offer3,Agent,Two-Door Car,Small
Arizona,No,Basic,High School or Below,2/7/11,Employed,M,Rural,Divorced,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
Oregon,Yes,Basic,College,1/11/11,Employed,F,Rural,Single,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
California,Yes,Extended,Bachelor,1/28/11,Employed,F,Suburban,Married,Personal L2,Offer2,Agent,Four-Door Car,Small
Arizona,No,Basic,High School or Below,2/8/11,Employed,M,Suburban,Married,Personal L2,Offer4,Agent,Sports Car,Medsize
Washington,No,Basic,College,2/23/11,Employed,M,Suburban,Married,Special L2,Offer2,Call Center,Four-Door Car,Large
Oregon,No,Premium,Doctor,1/25/11,Disabled,F,Rural,Married,Personal L2,Offer1,Branch,SUV,Medsize
Arizona,No,Basic,Bachelor,1/31/11,Unemployed,M,Suburban,Single,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,1/2/11,Employed,F,Suburban,Single,Personal L2,Offer4,Agent,Two-Door Car,Medsize
California,No,Extended,Bachelor,2/7/11,Unemployed,F,Suburban,Married,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Personal L2,Offer4,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,1/17/11,Employed,M,Suburban,Married,Personal L2,Offer1,Agent,SUV,Small
California,Yes,Basic,Bachelor,1/11/11,Employed,F,Suburban,Divorced,Corporate L1,Offer1,Web,SUV,Medsize
Nevada,No,Basic,High School or Below,2/21/11,Employed,F,Rural,Married,Special L1,Offer4,Branch,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,2/16/11,Employed,M,Suburban,Single,Personal L3,Offer4,Agent,Four-Door Car,Medsize
California,No,Premium,Bachelor,1/17/11,Disabled,M,Suburban,Married,Personal L2,Offer1,Branch,Four-Door Car,Small
Arizona,No,Extended,College,2/5/11,Employed,F,Suburban,Divorced,Corporate L3,Offer3,Call Center,Four-Door Car,Small
California,No,Basic,College,2/13/11,Employed,M,Urban,Married,Special L2,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,2/23/11,Unemployed,F,Suburban,Married,Personal L2,Offer1,Call Center,SUV,Small
Oregon,No,Extended,High School or Below,1/28/11,Disabled,F,Suburban,Divorced,Personal L3,Offer1,Call Center,SUV,Medsize
Oregon,No,Premium,Master,2/28/11,Disabled,F,Suburban,Divorced,Personal L1,Offer1,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,1/2/11,Retired,M,Suburban,Divorced,Personal L1,Offer1,Agent,Four-Door Car,Medsize
California,No,Premium,Bachelor,1/22/11,Medical Leave,F,Suburban,Married,Personal L3,Offer1,Call Center,Two-Door Car,Small
Oregon,No,Extended,Bachelor,1/15/11,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Two-Door Car,Small
California,No,Basic,High School or Below,1/27/11,Employed,F,Rural,Married,Personal L3,Offer1,Agent,SUV,Medsize
Arizona,No,Basic,Bachelor,1/23/11,Unemployed,F,Suburban,Single,Personal L3,Offer3,Branch,Four-Door Car,Large
Washington,No,Basic,College,1/31/11,Employed,M,Suburban,Married,Personal L3,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,College,1/26/11,Employed,F,Suburban,Divorced,Corporate L3,Offer1,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,1/10/11,Employed,F,Urban,Married,Personal L3,Offer4,Branch,Two-Door Car,Small
Oregon,Yes,Extended,Bachelor,1/27/11,Unemployed,F,Suburban,Divorced,Personal L3,Offer1,Call Center,Two-Door Car,Large
California,No,Premium,College,1/9/11,Disabled,F,Suburban,Married,Personal L3,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,2/24/11,Employed,M,Rural,Divorced,Personal L3,Offer4,Agent,SUV,Medsize
Oregon,No,Basic,Master,2/11/11,Employed,M,Rural,Married,Personal L2,Offer2,Web,Two-Door Car,Large
Oregon,No,Basic,Master,2/12/11,Medical Leave,M,Suburban,Married,Personal L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,2/4/11,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Sports Car,Medsize
Oregon,Yes,Basic,Bachelor,1/18/11,Employed,M,Suburban,Divorced,Personal L3,Offer2,Branch,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,2/11/11,Employed,M,Suburban,Married,Personal L3,Offer2,Branch,Four-Door Car,Small
Oregon,No,Basic,High School or Below,2/1/11,Employed,F,Rural,Single,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,College,2/15/11,Employed,M,Suburban,Married,Personal L1,Offer2,Agent,Four-Door Car,Medsize
Washington,No,Extended,College,2/6/11,Employed,M,Rural,Married,Personal L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,2/27/11,Employed,M,Rural,Single,Personal L3,Offer2,Branch,Luxury Car,Small
California,No,Extended,College,1/26/11,Unemployed,F,Rural,Single,Personal L3,Offer3,Branch,Two-Door Car,Large
California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,Doctor,1/27/11,Employed,M,Suburban,Married,Personal L1,Offer3,Branch,SUV,Medsize
Nevada,No,Basic,Master,1/16/11,Employed,M,Suburban,Married,Personal L3,Offer2,Call Center,Four-Door Car,Large
Oregon,No,Extended,College,1/27/11,Disabled,F,Suburban,Single,Personal L3,Offer2,Agent,Four-Door Car,Small
Washington,No,Basic,High School or Below,2/28/11,Employed,M,Suburban,Married,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
California,Yes,Extended,College,1/25/11,Retired,M,Suburban,Married,Personal L1,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,1/1/11,Employed,F,Urban,Married,Corporate L2,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,2/1/11,Employed,F,Suburban,Divorced,Personal L2,Offer3,Branch,Four-Door Car,Medsize
California,Yes,Extended,College,2/19/11,Employed,M,Suburban,Married,Personal L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Premium,College,1/27/11,Medical Leave,M,Suburban,Married,Personal L3,Offer2,Branch,Two-Door Car,Small
Washington,Yes,Extended,Bachelor,2/27/11,Employed,F,Suburban,Married,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,2/10/11,Employed,M,Suburban,Married,Corporate L1,Offer1,Branch,Two-Door Car,Small
California,No,Extended,High School or Below,1/24/11,Unemployed,F,Suburban,Single,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Personal L3,Offer1,Branch,Four-Door Car,Large
Arizona,No,Basic,Master,2/15/11,Medical Leave,F,Rural,Married,Personal L3,Offer1,Branch,SUV,Medsize
California,No,Basic,Bachelor,2/16/11,Medical Leave,M,Suburban,Married,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,1/22/11,Employed,F,Urban,Married,Personal L1,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Extended,College,2/25/11,Employed,M,Suburban,Married,Personal L2,Offer1,Agent,Two-Door Car,Small
California,Yes,Basic,College,1/11/11,Unemployed,F,Suburban,Married,Personal L3,Offer1,Agent,SUV,Medsize
California,Yes,Basic,College,1/31/11,Unemployed,M,Suburban,Single,Personal L1,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,1/12/11,Employed,M,Rural,Single,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
California,Yes,Premium,College,2/16/11,Employed,M,Suburban,Married,Personal L3,Offer2,Branch,Four-Door Car,Medsize
California,No,Extended,High School or Below,2/9/11,Unemployed,F,Suburban,Single,Personal L3,Offer1,Web,SUV,Medsize
Oregon,No,Extended,Bachelor,1/19/11,Employed,F,Rural,Married,Personal L3,Offer1,Call Center,Four-Door Car,Small
California,No,Basic,Bachelor,1/4/11,Employed,F,Rural,Married,Personal L1,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,1/9/11,Unemployed,M,Suburban,Married,Personal L1,Offer1,Agent,SUV,Medsize
California,No,Basic,Bachelor,1/27/11,Employed,F,Rural,Married,Personal L3,Offer1,Agent,Two-Door Car,Medsize
Oregon,No,Basic,College,2/14/11,Employed,M,Urban,Married,Corporate L1,Offer4,Agent,Four-Door Car,Medsize
California,No,Extended,College,2/27/11,Employed,M,Suburban,Married,Personal L3,Offer4,Agent,Four-Door Car,Small
Washington,No,Extended,High School or Below,2/12/11,Employed,M,Suburban,Divorced,Corporate L2,Offer2,Web,Four-Door Car,Small
Arizona,No,Basic,College,2/26/11,Employed,M,Suburban,Married,Personal L3,Offer2,Branch,SUV,Medsize
Oregon,No,Basic,Bachelor,2/20/11,Employed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Washington,No,Basic,High School or Below,2/2/11,Employed,M,Suburban,Married,Personal L2,Offer4,Branch,Four-Door Car,Medsize
California,No,Basic,High School or Below,2/15/11,Unemployed,M,Suburban,Married,Corporate L2,Offer1,Agent,SUV,Medsize
Oregon,Yes,Extended,High School or Below,2/18/11,Retired,M,Suburban,Divorced,Personal L3,Offer2,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,1/21/11,Employed,M,Suburban,Married,Personal L3,Offer2,Branch,Two-Door Car,Medsize
California,No,Basic,Bachelor,1/15/11,Employed,F,Suburban,Single,Personal L2,Offer3,Agent,Two-Door Car,Medsize
California,No,Extended,College,2/5/11,Employed,F,Urban,Married,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
Washington,No,Extended,College,2/24/11,Unemployed,M,Suburban,Married,Personal L2,Offer3,Web,Two-Door Car,Medsize
California,No,Basic,Bachelor,1/5/11,Employed,M,Rural,Married,Personal L3,Offer1,Call Center,Sports Car,Medsize
Oregon,No,Basic,High School or Below,1/28/11,Employed,F,Suburban,Married,Personal L3,Offer3,Branch,Two-Door Car,Small
California,No,Basic,High School or Below,1/12/11,Employed,M,Suburban,Single,Personal L3,Offer3,Web,Luxury SUV,Medsize
Nevada,No,Basic,Bachelor,2/16/11,Employed,F,Rural,Married,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Premium,College,1/3/11,Employed,M,Suburban,Divorced,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
Oregon,No,Extended,Master,2/7/11,Employed,F,Rural,Single,Personal L3,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Extended,College,1/13/11,Employed,M,Urban,Married,Special L2,Offer1,Branch,Four-Door Car,Medsize
Oregon,Yes,Basic,College,1/3/11,Retired,M,Suburban,Divorced,Personal L2,Offer2,Web,Four-Door Car,Medsize
Washington,No,Basic,Master,2/17/11,Unemployed,F,Rural,Married,Personal L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,1/21/11,Employed,M,Suburban,Married,Personal L3,Offer1,Agent,Sports Car,Medsize
Nevada,No,Basic,Bachelor,1/26/11,Employed,F,Rural,Married,Special L2,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,1/31/11,Employed,F,Urban,Married,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,No,Premium,College,1/2/11,Employed,M,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small
Arizona,No,Basic,High School or Below,2/7/11,Unemployed,F,Suburban,Single,Corporate L2,Offer1,Web,Four-Door Car,Small
Arizona,No,Basic,High School or Below,1/26/11,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,SUV,Medsize
Oregon,No,Basic,High School or Below,1/11/11,Employed,F,Rural,Married,Special L2,Offer1,Branch,Sports Car,Medsize
Washington,No,Basic,College,1/15/11,Unemployed,F,Suburban,Single,Personal L2,Offer2,Agent,Four-Door Car,Small
Oregon,No,Extended,College,2/8/11,Employed,F,Urban,Married,Personal L3,Offer4,Branch,Four-Door Car,Medsize
Arizona,No,Extended,Bachelor,1/11/11,Employed,F,Urban,Single,Special L3,Offer3,Branch,Four-Door Car,Small
Oregon,No,Basic,College,1/9/11,Unemployed,M,Suburban,Single,Personal L1,Offer4,Web,Two-Door Car,Large
Arizona,No,Premium,Master,2/4/11,Employed,M,Urban,Married,Personal L2,Offer1,Call Center,SUV,Medsize
California,No,Extended,High School or Below,1/21/11,Unemployed,F,Suburban,Single,Personal L2,Offer3,Branch,Sports Car,Medsize
Washington,No,Premium,High School or Below,2/16/11,Employed,M,Suburban,Married,Corporate L3,Offer3,Agent,SUV,Medsize
Oregon,Yes,Extended,High School or Below,2/24/11,Unemployed,F,Suburban,Married,Personal L1,Offer1,Agent,Four-Door Car,Large
Nevada,No,Extended,Bachelor,1/18/11,Employed,M,Urban,Married,Corporate L2,Offer4,Web,Four-Door Car,Medsize
California,No,Basic,College,1/30/11,Unemployed,F,Suburban,Married,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,1/9/11,Employed,F,Suburban,Divorced,Corporate L2,Offer1,Call Center,Two-Door Car,Medsize
Arizona,No,Extended,High School or Below,2/1/11,Employed,F,Rural,Married,Personal L3,Offer2,Web,Four-Door Car,Medsize
Oregon,Yes,Premium,College,2/28/11,Unemployed,M,Suburban,Married,Corporate L2,Offer1,Branch,Four-Door Car,Large
Washington,No,Basic,Bachelor,1/31/11,Employed,M,Suburban,Single,Personal L2,Offer4,Branch,Four-Door Car,Small
Washington,Yes,Basic,High School or Below,2/17/11,Employed,M,Rural,Married,Personal L3,Offer2,Agent,Sports Car,Medsize
Arizona,No,Extended,High School or Below,2/12/11,Disabled,M,Suburban,Married,Personal L3,Offer4,Agent,SUV,Medsize
Arizona,No,Extended,Bachelor,2/24/11,Medical Leave,F,Rural,Married,Personal L1,Offer1,Branch,SUV,Medsize
California,No,Basic,Bachelor,2/1/11,Employed,F,Urban,Single,Personal L3,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,High School or Below,2/6/11,Employed,M,Suburban,Married,Personal L2,Offer2,Web,Four-Door Car,Small
Oregon,No,Extended,College,1/23/11,Employed,M,Rural,Single,Personal L2,Offer3,Agent,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,1/21/11,Employed,F,Suburban,Married,Personal L2,Offer2,Agent,Four-Door Car,Small
Arizona,Yes,Basic,College,1/20/11,Retired,M,Suburban,Married,Personal L3,Offer2,Agent,Sports Car,Medsize
Arizona,No,Basic,Bachelor,1/6/11,Employed,F,Rural,Married,Personal L2,Offer1,Web,Two-Door Car,Large
California,No,Basic,High School or Below,2/22/11,Unemployed,M,Suburban,Married,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
Washington,No,Basic,College,2/27/11,Employed,F,Urban,Married,Personal L1,Offer1,Agent,SUV,Medsize
California,Yes,Basic,College,2/21/11,Unemployed,F,Suburban,Divorced,Personal L3,Offer1,Agent,SUV,Medsize
Washington,Yes,Basic,Bachelor,1/29/11,Retired,F,Suburban,Single,Personal L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Extended,Bachelor,2/22/11,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Master,2/21/11,Medical Leave,M,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,Bachelor,1/10/11,Unemployed,F,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small
California,Yes,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Single,Personal L1,Offer1,Agent,Four-Door Car,Small
Oregon,No,Extended,High School or Below,1/16/11,Employed,F,Urban,Divorced,Personal L2,Offer3,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,1/6/11,Unemployed,F,Suburban,Married,Personal L2,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,College,1/27/11,Medical Leave,M,Suburban,Married,Personal L1,Offer4,Branch,Four-Door Car,Medsize
Oregon,No,Premium,Doctor,1/15/11,Disabled,F,Urban,Divorced,Personal L3,Offer2,Agent,Four-Door Car,Medsize
Nevada,No,Basic,College,1/9/11,Employed,F,Rural,Divorced,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Basic,College,1/28/11,Unemployed,F,Suburban,Married,Personal L2,Offer3,Agent,Four-Door Car,Small
California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,Bachelor,1/4/11,Employed,F,Rural,Married,Personal L2,Offer2,Call Center,Sports Car,Medsize
Washington,No,Basic,College,2/1/11,Employed,F,Rural,Married,Personal L2,Offer2,Agent,SUV,Medsize
Arizona,No,Basic,Bachelor,1/27/11,Employed,F,Urban,Married,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
Washington,No,Basic,College,2/14/11,Unemployed,F,Suburban,Single,Personal L3,Offer3,Web,Two-Door Car,Medsize
California,No,Basic,Bachelor,1/23/11,Employed,F,Suburban,Divorced,Personal L2,Offer2,Call Center,Sports Car,Small
California,No,Premium,Bachelor,2/18/11,Unemployed,F,Suburban,Married,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Extended,Bachelor,1/24/11,Employed,F,Suburban,Married,Personal L3,Offer3,Branch,Luxury Car,Medsize
Oregon,No,Basic,High School or Below,2/18/11,Employed,M,Suburban,Married,Personal L2,Offer2,Branch,Four-Door Car,Large
Nevada,No,Extended,Bachelor,1/19/11,Employed,M,Suburban,Single,Personal L2,Offer4,Agent,Four-Door Car,Small
California,No,Basic,Bachelor,1/4/11,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,SUV,Medsize
California,No,Basic,High School or Below,2/7/11,Employed,F,Suburban,Single,Personal L3,Offer3,Call Center,SUV,Small
California,No,Basic,College,1/30/11,Employed,F,Suburban,Single,Corporate L3,Offer2,Branch,SUV,Medsize
Arizona,Yes,Extended,Bachelor,2/17/11,Employed,F,Suburban,Married,Personal L1,Offer2,Agent,SUV,Medsize
California,No,Extended,Bachelor,1/13/11,Employed,F,Urban,Single,Personal L1,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Extended,College,2/8/11,Employed,M,Urban,Married,Personal L3,Offer3,Branch,Four-Door Car,Medsize
California,No,Basic,Master,1/29/11,Employed,M,Urban,Married,Special L2,Offer4,Web,SUV,Medsize
California,No,Basic,High School or Below,2/5/11,Unemployed,F,Suburban,Single,Special L3,Offer4,Branch,Two-Door Car,Small
California,No,Basic,Bachelor,1/20/11,Employed,M,Suburban,Married,Personal L3,Offer2,Branch,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,1/27/11,Employed,F,Suburban,Married,Personal L2,Offer4,Agent,Two-Door Car,Small
Arizona,No,Basic,High School or Below,1/9/11,Unemployed,F,Suburban,Divorced,Personal L2,Offer1,Branch,Four-Door Car,Small
Washington,No,Extended,Bachelor,1/11/11,Employed,F,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Premium,High School or Below,2/17/11,Employed,M,Suburban,Single,Corporate L3,Offer4,Web,Luxury SUV,Medsize
Oregon,No,Basic,Bachelor,2/16/11,Employed,M,Rural,Single,Special L3,Offer1,Branch,Four-Door Car,Medsize
Washington,No,Extended,High School or Below,2/10/11,Unemployed,F,Suburban,Single,Personal L1,Offer3,Branch,Two-Door Car,Medsize
California,Yes,Extended,College,2/19/11,Employed,M,Suburban,Married,Personal L1,Offer1,Branch,Four-Door Car,Medsize
California,No,Premium,Master,1/21/11,Disabled,F,Suburban,Single,Personal L1,Offer1,Call Center,SUV,Medsize
Nevada,Yes,Extended,Bachelor,2/27/11,Retired,F,Suburban,Single,Personal L3,Offer1,Agent,SUV,Medsize
Arizona,No,Basic,High School or Below,2/4/11,Employed,F,Suburban,Married,Corporate L1,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,College,1/18/11,Unemployed,M,Suburban,Single,Personal L2,Offer1,Agent,SUV,Medsize
California,No,Basic,High School or Below,2/3/11,Unemployed,M,Suburban,Single,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
California,No,Basic,College,1/2/11,Unemployed,M,Suburban,Single,Personal L2,Offer1,Agent,SUV,Medsize
California,No,Basic,College,1/9/11,Employed,F,Urban,Married,Personal L1,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,College,1/19/11,Employed,M,Suburban,Married,Corporate L2,Offer1,Branch,SUV,Small
Oregon,No,Basic,High School or Below,1/11/11,Employed,F,Suburban,Divorced,Corporate L3,Offer2,Agent,SUV,Medsize
Washington,No,Extended,Bachelor,1/31/11,Employed,F,Rural,Married,Personal L3,Offer3,Web,Four-Door Car,Medsize
California,No,Extended,High School or Below,1/11/11,Employed,M,Suburban,Single,Personal L3,Offer2,Agent,Two-Door Car,Small
California,Yes,Basic,College,2/11/11,Retired,M,Suburban,Single,Special L3,Offer1,Agent,Four-Door Car,Medsize
Washington,No,Extended,College,1/22/11,Employed,M,Urban,Married,Corporate L3,Offer2,Web,Two-Door Car,Small
California,No,Basic,High School or Below,2/24/11,Employed,F,Urban,Single,Special L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,College,2/28/11,Employed,M,Suburban,Divorced,Personal L1,Offer4,Agent,Four-Door Car,Small
Oregon,No,Extended,College,1/25/11,Employed,F,Suburban,Married,Corporate L1,Offer4,Call Center,Four-Door Car,Large
Oregon,No,Premium,College,2/26/11,Employed,M,Urban,Married,Corporate L3,Offer4,Agent,Sports Car,Small
Oregon,Yes,Extended,High School or Below,2/19/11,Disabled,F,Suburban,Married,Special L3,Offer1,Agent,Two-Door Car,Small
Washington,Yes,Basic,High School or Below,1/2/11,Unemployed,F,Suburban,Divorced,Personal L3,Offer1,Web,Sports Car,Medsize
California,No,Basic,College,1/2/11,Employed,M,Suburban,Married,Personal L1,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,1/26/11,Employed,F,Suburban,Married,Personal L2,Offer3,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,2/2/11,Employed,M,Suburban,Divorced,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
